Area_Axon,Centroid_X,Centroid_Y,Perimeter_Axon,AxonDiameter_MinFeret,AxonDiameter_Circle,AxonDiameter_ShapeAdjustedEllipse
0.45,48.8,-48.4,2.49,0.64,0.757132,0.589186
0.34,48.2,-47.9,2.34,0.54,0.658119,0.433033
0.22,49.4,-48.2,2.28,0.36,0.529391,0.263408
0.47,49.8,-49.2,2.92,0.54,0.773774,0.461629
0.37,50.7,-52.9,2.44,0.56,0.68654,0.452058
0.8,52.1,-52.7,3.63,0.91,1.009509,0.651032
0.71,55.6,-51.1,3.31,0.94,0.95103,0.650836
0.44,54.2,-50.5,2.64,0.62,0.748672,0.499984
0.38,55.9,-50.4,2.48,0.48,0.695756,0.455742
0.35,55.2,-50.1,2.51,0.48,0.667727,0.400824
0.5,53.7,-49.5,2.81,0.64,0.798087,0.534439
0.17,53.5,-50,1.52,0.44,0.465361,0.36952
0.24,54.3,-49.9,2.11,0.4,0.552931,0.32453
0.05,53.8,-50.2,0.82,0.22,0.252377,0.204056
0.14,53.5,-50.4,1.42,0.34,0.422308,0.311054
0.06,54.7,-50.2,0.89,0.23,0.276465,0.230589
0.18,55,-50.6,1.87,0.34,0.478852,0.271811
0.22,55.4,-49.6,1.79,0.43,0.529391,0.384855
0.33,56.2,-49.8,2.18,0.53,0.648369,0.477276
0.26,56.7,-48.9,1.98,0.43,0.575509,0.403171
0.13,57.1,-49.3,1.4,0.28,0.406946,0.285332
0.27,57,-49.8,2.06,0.45,0.586472,0.394616
0.3,57.4,-50.2,2.07,0.48,0.618195,0.459509
0.3,56.8,-50.8,2.4,0.43,0.618195,0.353695
0.78,53.7,-46.9,3.74,0.76,0.99681,0.599871
0.79,53.1,-46,3.71,0.79,1.00318,0.61754
0.93,52.2,-46,3.69,0.92,1.088445,0.78617
0.72,51.6,-44.8,3.5,0.64,0.957704,0.601024
0.63,52.9,-44.5,2.93,0.83,0.89585,0.708123
0.61,52.4,-43.7,2.96,0.77,0.881516,0.650731
0.43,50.9,-43.9,2.74,0.48,0.740115,0.454955
0.07,50.5,-43.9,1.01,0.29,0.298617,0.217327
0.31,50.5,-43.2,2.06,0.57,0.628414,0.493574
0.96,53.8,-44.4,4.39,0.74,1.105862,0.6126
0.43,53,-43.2,2.72,0.53,0.740115,0.460343
0.76,53.7,-42.6,3.32,0.81,0.983948,0.71826
0.46,50.2,-42.4,2.68,0.71,0.765498,0.518095
0.13,50.7,-42.7,1.39,0.31,0.406946,0.28959
0.19,51.1,-42.3,1.67,0.43,0.491974,0.354631
0.26,51.2,-40.9,1.91,0.53,0.575509,0.437277
0.26,53.3,-41.6,1.89,0.52,0.575509,0.44974
0.29,52.8,-41.9,2.44,0.39,0.607805,0.331715
0.26,54.5,-42.5,2.02,0.4,0.575509,0.387784
0.7,57.7,-48.7,3.5,0.7,0.944309,0.579282
0.56,39.3,-52.6,3.41,0.52,0.844616,0.45718
0.85,39.3,-51.9,4.17,0.66,1.040578,0.568949
0.96,40,-51.4,3.77,1.06,1.105862,0.789164
0.46,39.6,-50.4,2.5,0.71,0.765498,0.607771
0.57,40.1,-49.7,2.9,0.77,0.852124,0.610413
1.38,41.2,-50.7,4.72,1.19,1.325882,0.870104
